Hand,Hand Type,k,Raw EV (Win %),Opponent Pool Size,Opponent Hands,Entropy (bits),Info Gain vs k=0 (bits),Certainty %,Ambiguity %
Ac Jh Jd Ts Td,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Jh Jd Ts Td,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Jh Jd Ts Td,Two Pair,2,37.00,14,2002,2.197,0.036,40.8,21.3
Ac Jh Jd Ts Td,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Jh Jd Ts Td,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Jh Jd Ts Td,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Jh Jd Ts Th,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Jh Jd Ts Th,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Jh Jd Ts Th,Two Pair,2,37.00,14,2002,2.197,0.036,40.8,21.3
Ac Jh Jd Ts Th,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Jh Jd Ts Th,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Jh Jd Ts Th,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Jh Jd Ts W,Three of a Kind,0,78.62,16,4368,1.847,0.000,0.0,0.0
Ac Jh Jd Ts W,Three of a Kind,1,85.42,15,3003,1.843,0.004,75.0,0.0
Ac Jh Jd Ts W,Three of a Kind,2,86.07,14,2002,1.837,0.010,68.9,0.0
Ac Jh Jd Ts W,Three of a Kind,3,86.46,13,1287,1.827,0.020,73.2,0.0
Ac Jh Jd Ts W,Three of a Kind,4,87.01,12,792,1.811,0.036,79.7,0.0
Ac Jh Td Tc W,Three of a Kind,0,77.20,16,4368,1.849,0.000,0.0,0.0
Ac Jh Td Tc W,Three of a Kind,1,84.79,15,3003,1.845,0.004,50.0,0.0
Ac Jh Td Tc W,Three of a Kind,2,85.76,14,2002,1.839,0.010,65.6,0.0
Ac Jh Td Tc W,Three of a Kind,3,86.21,13,1287,1.829,0.021,69.6,0.0
Ac Jh Td Tc W,Three of a Kind,4,86.95,12,792,1.813,0.036,79.7,0.0
Ac Jh Th Tc W,Three of a Kind,0,77.20,16,4368,1.851,0.000,0.0,0.0
Ac Jh Th Tc W,Three of a Kind,1,84.79,15,3003,1.847,0.004,50.0,0.0
Ac Jh Th Tc W,Three of a Kind,2,85.80,14,2002,1.841,0.010,65.6,0.0
Ac Jh Th Tc W,Three of a Kind,3,86.18,13,1287,1.830,0.021,69.6,0.0
Ac Jh Th Tc W,Three of a Kind,4,86.97,12,792,1.815,0.036,79.7,0.0
Ac Jh Th Td Tc,Three of a Kind,0,51.85,16,4368,2.257,0.000,0.0,100.0
Ac Jh Th Td Tc,Three of a Kind,1,38.62,15,3003,2.239,0.017,42.5,42.5
Ac Jh Th Td Tc,Three of a Kind,2,37.46,14,2002,2.218,0.039,46.7,24.3
Ac Jh Th Td Tc,Three of a Kind,3,38.94,13,1287,2.192,0.065,45.1,14.3
Ac Jh Th Td Tc,Three of a Kind,4,43.89,12,792,2.158,0.098,50.1,8.1
Ac Jh Th Td Tc,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
Ac Jh Th Td W,Three of a Kind,0,77.20,16,4368,1.849,0.000,0.0,0.0
Ac Jh Th Td W,Three of a Kind,1,84.79,15,3003,1.845,0.004,50.0,0.0
Ac Jh Th Td W,Three of a Kind,2,85.76,14,2002,1.839,0.010,65.6,0.0
Ac Jh Th Td W,Three of a Kind,3,86.21,13,1287,1.829,0.021,69.6,0.0
Ac Jh Th Td W,Three of a Kind,4,86.95,12,792,1.813,0.036,79.7,0.0
Ac Jh Ts Tc W,Three of a Kind,0,77.20,16,4368,1.849,0.000,0.0,0.0
Ac Jh Ts Tc W,Three of a Kind,1,84.79,15,3003,1.845,0.004,50.0,0.0
Ac Jh Ts Tc W,Three of a Kind,2,85.76,14,2002,1.839,0.010,65.6,0.0
Ac Jh Ts Tc W,Three of a Kind,3,86.21,13,1287,1.829,0.021,69.6,0.0
Ac Jh Ts Tc W,Three of a Kind,4,86.95,12,792,1.813,0.036,79.7,0.0
Ac Jh Ts Td Tc,Three of a Kind,0,51.85,16,4368,2.251,0.000,0.0,100.0
Ac Jh Ts Td Tc,Three of a Kind,1,38.63,15,3003,2.233,0.017,42.5,42.5
Ac Jh Ts Td Tc,Three of a Kind,2,37.47,14,2002,2.212,0.038,46.7,24.3
Ac Jh Ts Td Tc,Three of a Kind,3,38.93,13,1287,2.186,0.064,45.1,14.3
Ac Jh Ts Td Tc,Three of a Kind,4,43.90,12,792,2.153,0.098,50.1,8.1
Ac Jh Ts Td Tc,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Jh Ts Td W,Three of a Kind,0,77.20,16,4368,1.847,0.000,0.0,0.0
Ac Jh Ts Td W,Three of a Kind,1,84.79,15,3003,1.843,0.004,50.0,0.0
Ac Jh Ts Td W,Three of a Kind,2,85.72,14,2002,1.837,0.010,65.6,0.0
Ac Jh Ts Td W,Three of a Kind,3,86.24,13,1287,1.827,0.020,69.6,0.0
Ac Jh Ts Td W,Three of a Kind,4,86.94,12,792,1.811,0.036,79.7,0.0
Ac Jh Ts Th Tc,Three of a Kind,0,51.85,16,4368,2.257,0.000,0.0,100.0
Ac Jh Ts Th Tc,Three of a Kind,1,38.62,15,3003,2.239,0.017,42.5,42.5
Ac Jh Ts Th Tc,Three of a Kind,2,37.46,14,2002,2.218,0.039,46.7,24.3
Ac Jh Ts Th Tc,Three of a Kind,3,38.94,13,1287,2.192,0.065,45.1,14.3
Ac Jh Ts Th Tc,Three of a Kind,4,43.89,12,792,2.158,0.098,50.1,8.1
Ac Jh Ts Th Tc,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
Ac Jh Ts Th Td,Three of a Kind,0,51.85,16,4368,2.251,0.000,0.0,100.0
Ac Jh Ts Th Td,Three of a Kind,1,38.63,15,3003,2.233,0.017,42.5,42.5
Ac Jh Ts Th Td,Three of a Kind,2,37.47,14,2002,2.212,0.038,46.7,24.3
Ac Jh Ts Th Td,Three of a Kind,3,38.93,13,1287,2.186,0.064,45.1,14.3
Ac Jh Ts Th Td,Three of a Kind,4,43.90,12,792,2.153,0.098,50.1,8.1
Ac Jh Ts Th Td,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Jh Ts Th W,Three of a Kind,0,77.20,16,4368,1.849,0.000,0.0,0.0
Ac Jh Ts Th W,Three of a Kind,1,84.79,15,3003,1.845,0.004,50.0,0.0
Ac Jh Ts Th W,Three of a Kind,2,85.76,14,2002,1.839,0.010,65.6,0.0
Ac Jh Ts Th W,Three of a Kind,3,86.21,13,1287,1.829,0.021,69.6,0.0
Ac Jh Ts Th W,Three of a Kind,4,86.95,12,792,1.813,0.036,79.7,0.0
Ac Js Jc Tc W,Three of a Kind,0,78.62,16,4368,1.851,0.000,0.0,0.0
Ac Js Jc Tc W,Three of a Kind,1,85.73,15,3003,1.847,0.004,75.0,0.0
Ac Js Jc Tc W,Three of a Kind,2,86.11,14,2002,1.841,0.010,68.9,0.0
Ac Js Jc Tc W,Three of a Kind,3,86.40,13,1287,1.830,0.021,73.2,0.0
Ac Js Jc Tc W,Three of a Kind,4,87.05,12,792,1.815,0.036,79.7,0.0
Ac Js Jc Td Tc,Two Pair,0,33.52,16,4368,2.241,0.000,0.0,0.0
Ac Js Jc Td Tc,Two Pair,1,30.10,15,3003,2.224,0.016,46.2,25.0
Ac Js Jc Td Tc,Two Pair,2,37.03,14,2002,2.204,0.036,40.9,21.3
Ac Js Jc Td Tc,Two Pair,3,40.76,13,1287,2.179,0.062,44.1,15.2
Ac Js Jc Td Tc,Two Pair,4,44.42,12,792,2.146,0.095,46.2,9.8
Ac Js Jc Td Tc,Two Pair,5,49.27,11,462,2.101,0.139,51.6,9.8
Ac Js Jc Td W,Three of a Kind,0,78.62,16,4368,1.849,0.000,0.0,0.0
Ac Js Jc Td W,Three of a Kind,1,85.42,15,3003,1.845,0.004,75.0,0.0
Ac Js Jc Td W,Three of a Kind,2,86.11,14,2002,1.839,0.010,68.9,0.0
Ac Js Jc Td W,Three of a Kind,3,86.43,13,1287,1.829,0.021,73.2,0.0
Ac Js Jc Td W,Three of a Kind,4,87.03,12,792,1.813,0.036,79.7,0.0
Ac Js Jc Th Tc,Two Pair,0,33.52,16,4368,2.241,0.000,0.0,0.0
Ac Js Jc Th Tc,Two Pair,1,30.10,15,3003,2.224,0.016,46.2,25.0
Ac Js Jc Th Tc,Two Pair,2,37.03,14,2002,2.204,0.036,40.9,21.3
Ac Js Jc Th Tc,Two Pair,3,40.76,13,1287,2.179,0.062,44.1,15.2
Ac Js Jc Th Tc,Two Pair,4,44.42,12,792,2.146,0.095,46.2,9.8
Ac Js Jc Th Tc,Two Pair,5,49.27,11,462,2.101,0.139,51.6,9.8
Ac Js Jc Th Td,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Js Jc Th Td,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Js Jc Th Td,Two Pair,2,36.99,14,2002,2.197,0.036,40.8,21.3
Ac Js Jc Th Td,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Js Jc Th Td,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Js Jc Th Td,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Js Jc Th W,Three of a Kind,0,78.62,16,4368,1.849,0.000,0.0,0.0
Ac Js Jc Th W,Three of a Kind,1,85.42,15,3003,1.845,0.004,75.0,0.0
Ac Js Jc Th W,Three of a Kind,2,86.11,14,2002,1.839,0.010,68.9,0.0
Ac Js Jc Th W,Three of a Kind,3,86.43,13,1287,1.829,0.021,73.2,0.0
Ac Js Jc Th W,Three of a Kind,4,87.03,12,792,1.813,0.036,79.7,0.0
Ac Js Jc Ts Tc,Two Pair,0,33.52,16,4368,2.246,0.000,0.0,0.0
Ac Js Jc Ts Tc,Two Pair,1,30.09,15,3003,2.230,0.016,46.2,25.0
Ac Js Jc Ts Tc,Two Pair,2,37.02,14,2002,2.210,0.036,40.9,21.3
Ac Js Jc Ts Tc,Two Pair,3,40.76,13,1287,2.184,0.062,44.1,15.2
Ac Js Jc Ts Tc,Two Pair,4,44.40,12,792,2.151,0.095,46.2,9.8
Ac Js Jc Ts Tc,Two Pair,5,49.28,11,462,2.106,0.140,51.7,9.8
Ac Js Jc Ts Td,Two Pair,0,33.52,16,4368,2.239,0.000,0.0,0.0
Ac Js Jc Ts Td,Two Pair,1,30.10,15,3003,2.223,0.016,46.2,25.0
Ac Js Jc Ts Td,Two Pair,2,36.99,14,2002,2.203,0.036,40.8,21.3
Ac Js Jc Ts Td,Two Pair,3,40.77,13,1287,2.177,0.062,44.1,15.2
Ac Js Jc Ts Td,Two Pair,4,44.41,12,792,2.144,0.095,46.2,9.8
Ac Js Jc Ts Td,Two Pair,5,49.27,11,462,2.100,0.139,51.6,9.8
Ac Js Jc Ts Th,Two Pair,0,33.52,16,4368,2.239,0.000,0.0,0.0
Ac Js Jc Ts Th,Two Pair,1,30.10,15,3003,2.223,0.016,46.2,25.0
Ac Js Jc Ts Th,Two Pair,2,36.99,14,2002,2.203,0.036,40.8,21.3
Ac Js Jc Ts Th,Two Pair,3,40.77,13,1287,2.177,0.062,44.1,15.2
Ac Js Jc Ts Th,Two Pair,4,44.41,12,792,2.144,0.095,46.2,9.8
Ac Js Jc Ts Th,Two Pair,5,49.27,11,462,2.100,0.139,51.6,9.8
Ac Js Jc Ts W,Three of a Kind,0,78.62,16,4368,1.851,0.000,0.0,0.0
Ac Js Jc Ts W,Three of a Kind,1,85.41,15,3003,1.847,0.004,75.0,0.0
Ac Js Jc Ts W,Three of a Kind,2,86.15,14,2002,1.841,0.010,68.9,0.0
Ac Js Jc Ts W,Three of a Kind,3,86.40,13,1287,1.830,0.021,73.2,0.0
Ac Js Jc Ts W,Three of a Kind,4,87.04,12,792,1.815,0.036,79.7,0.0
Ac Js Jd Jc Tc,Three of a Kind,0,56.52,16,4368,2.258,0.000,0.0,100.0
Ac Js Jd Jc Tc,Three of a Kind,1,42.49,15,3003,2.241,0.017,42.5,42.5
Ac Js Jd Jc Tc,Three of a Kind,2,39.81,14,2002,2.220,0.038,46.7,24.3
Ac Js Jd Jc Tc,Three of a Kind,3,40.17,13,1287,2.193,0.065,46.0,14.3
Ac Js Jd Jc Tc,Three of a Kind,4,44.34,12,792,2.160,0.098,50.1,8.1
Ac Js Jd Jc Tc,Three of a Kind,5,49.61,11,462,2.115,0.142,55.9,7.3
Ac Js Jd Jc Td,Three of a Kind,0,56.52,16,4368,2.257,0.000,0.0,100.0
Ac Js Jd Jc Td,Three of a Kind,1,42.50,15,3003,2.239,0.017,42.5,42.5
Ac Js Jd Jc Td,Three of a Kind,2,39.78,14,2002,2.218,0.039,46.7,24.3
Ac Js Jd Jc Td,Three of a Kind,3,40.18,13,1287,2.192,0.065,46.0,14.3
Ac Js Jd Jc Td,Three of a Kind,4,44.34,12,792,2.158,0.098,50.1,8.1
Ac Js Jd Jc Td,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
Ac Js Jd Jc Th,Three of a Kind,0,56.52,16,4368,2.251,0.000,0.0,100.0
Ac Js Jd Jc Th,Three of a Kind,1,42.50,15,3003,2.233,0.017,42.5,42.5
Ac Js Jd Jc Th,Three of a Kind,2,39.78,14,2002,2.212,0.038,46.7,24.3
Ac Js Jd Jc Th,Three of a Kind,3,40.18,13,1287,2.186,0.064,46.0,14.3
Ac Js Jd Jc Th,Three of a Kind,4,44.35,12,792,2.153,0.098,50.1,8.1
Ac Js Jd Jc Th,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Js Jd Jc Ts,Three of a Kind,0,56.52,16,4368,2.257,0.000,0.0,100.0
Ac Js Jd Jc Ts,Three of a Kind,1,42.50,15,3003,2.239,0.017,42.5,42.5
Ac Js Jd Jc Ts,Three of a Kind,2,39.78,14,2002,2.218,0.039,46.7,24.3
Ac Js Jd Jc Ts,Three of a Kind,3,40.18,13,1287,2.192,0.065,46.0,14.3
Ac Js Jd Jc Ts,Three of a Kind,4,44.34,12,792,2.158,0.098,50.1,8.1
Ac Js Jd Jc Ts,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
Ac Js Jd Jc W,Four of a Kind,0,99.43,16,4368,1.920,0.000,100.0,0.0
Ac Js Jd Jc W,Four of a Kind,1,88.32,15,3003,1.912,0.008,81.2,0.0
Ac Js Jd Jc W,Four of a Kind,2,86.75,14,2002,1.902,0.018,77.5,0.0
Ac Js Jd Jc W,Four of a Kind,3,86.85,13,1287,1.889,0.031,80.4,0.0
Ac Js Jd Jc W,Four of a Kind,4,87.97,12,792,1.870,0.050,76.9,0.0
Ac Js Jd Tc W,Three of a Kind,0,78.62,16,4368,1.849,0.000,0.0,0.0
Ac Js Jd Tc W,Three of a Kind,1,85.42,15,3003,1.845,0.004,75.0,0.0
Ac Js Jd Tc W,Three of a Kind,2,86.11,14,2002,1.839,0.010,68.9,0.0
Ac Js Jd Tc W,Three of a Kind,3,86.43,13,1287,1.829,0.021,73.2,0.0
Ac Js Jd Tc W,Three of a Kind,4,87.03,12,792,1.813,0.036,79.7,0.0
Ac Js Jd Td Tc,Two Pair,0,33.52,16,4368,2.239,0.000,0.0,0.0
Ac Js Jd Td Tc,Two Pair,1,30.10,15,3003,2.223,0.016,46.2,25.0
Ac Js Jd Td Tc,Two Pair,2,36.99,14,2002,2.203,0.036,40.8,21.3
Ac Js Jd Td Tc,Two Pair,3,40.77,13,1287,2.177,0.062,44.1,15.2
Ac Js Jd Td Tc,Two Pair,4,44.41,12,792,2.144,0.095,46.2,9.8
Ac Js Jd Td Tc,Two Pair,5,49.27,11,462,2.100,0.139,51.6,9.8
Ac Js Jd Td W,Three of a Kind,0,78.62,16,4368,1.849,0.000,0.0,0.0
Ac Js Jd Td W,Three of a Kind,1,85.42,15,3003,1.845,0.004,75.0,0.0
Ac Js Jd Td W,Three of a Kind,2,86.11,14,2002,1.839,0.010,68.9,0.0
Ac Js Jd Td W,Three of a Kind,3,86.43,13,1287,1.829,0.021,73.2,0.0
Ac Js Jd Td W,Three of a Kind,4,87.03,12,792,1.813,0.036,79.7,0.0
Ac Js Jd Th Tc,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Js Jd Th Tc,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Js Jd Th Tc,Two Pair,2,36.99,14,2002,2.197,0.036,40.8,21.3
Ac Js Jd Th Tc,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Js Jd Th Tc,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Js Jd Th Tc,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Js Jd Th Td,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Js Jd Th Td,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Js Jd Th Td,Two Pair,2,37.00,14,2002,2.197,0.036,40.8,21.3
Ac Js Jd Th Td,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Js Jd Th Td,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Js Jd Th Td,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Js Jd Th W,Three of a Kind,0,78.62,16,4368,1.847,0.000,0.0,0.0
Ac Js Jd Th W,Three of a Kind,1,85.42,15,3003,1.843,0.004,75.0,0.0
Ac Js Jd Th W,Three of a Kind,2,86.07,14,2002,1.837,0.010,68.9,0.0
Ac Js Jd Th W,Three of a Kind,3,86.46,13,1287,1.827,0.020,73.2,0.0
Ac Js Jd Th W,Three of a Kind,4,87.01,12,792,1.811,0.036,79.7,0.0
Ac Js Jd Ts Tc,Two Pair,0,33.52,16,4368,2.239,0.000,0.0,0.0
Ac Js Jd Ts Tc,Two Pair,1,30.10,15,3003,2.223,0.016,46.2,25.0
Ac Js Jd Ts Tc,Two Pair,2,36.99,14,2002,2.203,0.036,40.8,21.3
Ac Js Jd Ts Tc,Two Pair,3,40.77,13,1287,2.177,0.062,44.1,15.2
Ac Js Jd Ts Tc,Two Pair,4,44.41,12,792,2.144,0.095,46.2,9.8
Ac Js Jd Ts Tc,Two Pair,5,49.27,11,462,2.100,0.139,51.6,9.8
Ac Js Jd Ts Td,Two Pair,0,33.52,16,4368,2.239,0.000,0.0,0.0
Ac Js Jd Ts Td,Two Pair,1,30.10,15,3003,2.223,0.016,46.2,25.0
Ac Js Jd Ts Td,Two Pair,2,36.99,14,2002,2.203,0.036,40.8,21.3
Ac Js Jd Ts Td,Two Pair,3,40.77,13,1287,2.177,0.062,44.1,15.2
Ac Js Jd Ts Td,Two Pair,4,44.41,12,792,2.144,0.095,46.2,9.8
Ac Js Jd Ts Td,Two Pair,5,49.27,11,462,2.100,0.139,51.6,9.8
Ac Js Jd Ts Th,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Js Jd Ts Th,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Js Jd Ts Th,Two Pair,2,37.00,14,2002,2.197,0.036,40.8,21.3
Ac Js Jd Ts Th,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Js Jd Ts Th,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Js Jd Ts Th,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Js Jd Ts W,Three of a Kind,0,78.62,16,4368,1.849,0.000,0.0,0.0
Ac Js Jd Ts W,Three of a Kind,1,85.42,15,3003,1.845,0.004,75.0,0.0
Ac Js Jd Ts W,Three of a Kind,2,86.11,14,2002,1.839,0.010,68.9,0.0
Ac Js Jd Ts W,Three of a Kind,3,86.43,13,1287,1.829,0.021,73.2,0.0
Ac Js Jd Ts W,Three of a Kind,4,87.03,12,792,1.813,0.036,79.7,0.0
Ac Js Jh Jc Tc,Three of a Kind,0,56.52,16,4368,2.258,0.000,0.0,100.0
Ac Js Jh Jc Tc,Three of a Kind,1,42.49,15,3003,2.241,0.017,42.5,42.5
Ac Js Jh Jc Tc,Three of a Kind,2,39.81,14,2002,2.220,0.038,46.7,24.3
Ac Js Jh Jc Tc,Three of a Kind,3,40.17,13,1287,2.193,0.065,46.0,14.3
Ac Js Jh Jc Tc,Three of a Kind,4,44.34,12,792,2.160,0.098,50.1,8.1
Ac Js Jh Jc Tc,Three of a Kind,5,49.61,11,462,2.115,0.142,55.9,7.3
Ac Js Jh Jc Td,Three of a Kind,0,56.52,16,4368,2.251,0.000,0.0,100.0
Ac Js Jh Jc Td,Three of a Kind,1,42.50,15,3003,2.233,0.017,42.5,42.5
Ac Js Jh Jc Td,Three of a Kind,2,39.78,14,2002,2.212,0.038,46.7,24.3
Ac Js Jh Jc Td,Three of a Kind,3,40.18,13,1287,2.186,0.064,46.0,14.3
Ac Js Jh Jc Td,Three of a Kind,4,44.35,12,792,2.153,0.098,50.1,8.1
Ac Js Jh Jc Td,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Js Jh Jc Th,Three of a Kind,0,56.52,16,4368,2.257,0.000,0.0,100.0
Ac Js Jh Jc Th,Three of a Kind,1,42.50,15,3003,2.239,0.017,42.5,42.5
Ac Js Jh Jc Th,Three of a Kind,2,39.78,14,2002,2.218,0.039,46.7,24.3
Ac Js Jh Jc Th,Three of a Kind,3,40.18,13,1287,2.192,0.065,46.0,14.3
Ac Js Jh Jc Th,Three of a Kind,4,44.34,12,792,2.158,0.098,50.1,8.1
Ac Js Jh Jc Th,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
Ac Js Jh Jc Ts,Three of a Kind,0,56.52,16,4368,2.257,0.000,0.0,100.0
Ac Js Jh Jc Ts,Three of a Kind,1,42.50,15,3003,2.239,0.017,42.5,42.5
Ac Js Jh Jc Ts,Three of a Kind,2,39.78,14,2002,2.218,0.039,46.7,24.3
Ac Js Jh Jc Ts,Three of a Kind,3,40.18,13,1287,2.192,0.065,46.0,14.3
Ac Js Jh Jc Ts,Three of a Kind,4,44.34,12,792,2.158,0.098,50.1,8.1
Ac Js Jh Jc Ts,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
Ac Js Jh Jc W,Four of a Kind,0,99.43,16,4368,1.920,0.000,100.0,0.0
Ac Js Jh Jc W,Four of a Kind,1,88.32,15,3003,1.912,0.008,81.2,0.0
Ac Js Jh Jc W,Four of a Kind,2,86.75,14,2002,1.902,0.018,77.5,0.0
Ac Js Jh Jc W,Four of a Kind,3,86.85,13,1287,1.889,0.031,80.4,0.0
Ac Js Jh Jc W,Four of a Kind,4,87.97,12,792,1.870,0.050,76.9,0.0
Ac Js Jh Jd Jc,Four of a Kind,0,97.07,16,4368,2.227,0.000,100.0,0.0
Ac Js Jh Jd Jc,Four of a Kind,1,73.13,15,3003,2.212,0.015,40.0,20.0
Ac Js Jh Jd Jc,Four of a Kind,2,46.66,14,2002,2.194,0.033,43.0,40.7
Ac Js Jh Jd Jc,Four of a Kind,3,36.73,13,1287,2.172,0.055,64.4,5.7
Ac Js Jh Jd Jc,Four of a Kind,4,44.04,12,792,2.142,0.085,70.2,4.7
Ac Js Jh Jd Jc,Four of a Kind,5,49.57,11,462,2.102,0.125,55.2,5.1
Ac Js Jh Jd Tc,Three of a Kind,0,56.52,16,4368,2.251,0.000,0.0,100.0
Ac Js Jh Jd Tc,Three of a Kind,1,42.50,15,3003,2.233,0.017,42.5,42.5
Ac Js Jh Jd Tc,Three of a Kind,2,39.78,14,2002,2.212,0.038,46.7,24.3
Ac Js Jh Jd Tc,Three of a Kind,3,40.18,13,1287,2.186,0.064,46.0,14.3
Ac Js Jh Jd Tc,Three of a Kind,4,44.35,12,792,2.153,0.098,50.1,8.1
Ac Js Jh Jd Tc,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Js Jh Jd Td,Three of a Kind,0,56.52,16,4368,2.251,0.000,0.0,100.0
Ac Js Jh Jd Td,Three of a Kind,1,42.50,15,3003,2.233,0.017,42.5,42.5
Ac Js Jh Jd Td,Three of a Kind,2,39.78,14,2002,2.212,0.038,46.7,24.3
Ac Js Jh Jd Td,Three of a Kind,3,40.18,13,1287,2.186,0.064,46.0,14.3
Ac Js Jh Jd Td,Three of a Kind,4,44.35,12,792,2.153,0.098,50.1,8.1
Ac Js Jh Jd Td,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Js Jh Jd Th,Three of a Kind,0,56.52,16,4368,2.251,0.000,0.0,100.0
Ac Js Jh Jd Th,Three of a Kind,1,42.50,15,3003,2.233,0.017,42.5,42.5
Ac Js Jh Jd Th,Three of a Kind,2,39.78,14,2002,2.212,0.038,46.7,24.3
Ac Js Jh Jd Th,Three of a Kind,3,40.18,13,1287,2.186,0.064,46.0,14.3
Ac Js Jh Jd Th,Three of a Kind,4,44.35,12,792,2.153,0.098,50.1,8.1
Ac Js Jh Jd Th,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Js Jh Jd Ts,Three of a Kind,0,56.52,16,4368,2.251,0.000,0.0,100.0
Ac Js Jh Jd Ts,Three of a Kind,1,42.50,15,3003,2.233,0.017,42.5,42.5
Ac Js Jh Jd Ts,Three of a Kind,2,39.78,14,2002,2.212,0.038,46.7,24.3
Ac Js Jh Jd Ts,Three of a Kind,3,40.18,13,1287,2.186,0.064,46.0,14.3
Ac Js Jh Jd Ts,Three of a Kind,4,44.35,12,792,2.153,0.098,50.1,8.1
Ac Js Jh Jd Ts,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
Ac Js Jh Jd W,Four of a Kind,0,99.45,16,4368,1.918,0.000,100.0,0.0
Ac Js Jh Jd W,Four of a Kind,1,88.33,15,3003,1.910,0.008,81.2,0.0
Ac Js Jh Jd W,Four of a Kind,2,86.71,14,2002,1.900,0.017,77.5,0.0
Ac Js Jh Jd W,Four of a Kind,3,86.87,13,1287,1.887,0.031,80.4,0.0
Ac Js Jh Jd W,Four of a Kind,4,87.97,12,792,1.868,0.049,76.9,0.0
Ac Js Jh Tc W,Three of a Kind,0,78.62,16,4368,1.849,0.000,0.0,0.0
Ac Js Jh Tc W,Three of a Kind,1,85.42,15,3003,1.845,0.004,75.0,0.0
Ac Js Jh Tc W,Three of a Kind,2,86.11,14,2002,1.839,0.010,68.9,0.0
Ac Js Jh Tc W,Three of a Kind,3,86.43,13,1287,1.829,0.021,73.2,0.0
Ac Js Jh Tc W,Three of a Kind,4,87.03,12,792,1.813,0.036,79.7,0.0
Ac Js Jh Td Tc,Two Pair,0,33.52,16,4368,2.233,0.000,0.0,0.0
Ac Js Jh Td Tc,Two Pair,1,30.10,15,3003,2.217,0.016,46.2,25.0
Ac Js Jh Td Tc,Two Pair,2,36.99,14,2002,2.197,0.036,40.8,21.3
Ac Js Jh Td Tc,Two Pair,3,40.76,13,1287,2.172,0.061,44.1,15.2
Ac Js Jh Td Tc,Two Pair,4,44.43,12,792,2.139,0.094,46.2,9.8
Ac Js Jh Td Tc,Two Pair,5,49.26,11,462,2.095,0.138,51.6,9.8
Ac Js Jh Td W,Three of a Kind,0,78.62,16,4368,1.847,0.000,0.0,0.0
Ac Js Jh Td W,Three of a Kind,1,85.42,15,3003,1.843,0.004,75.0,0.0
Ac Js Jh Td W,Three of a Kind,2,86.07,14,2002,1.837,0.010,68.9,0.0
